scenario,param,value,workers,n_runs,throughput_rps_mean,throughput_rps_std,latency_ms_mean,latency_ms_std
A,cores,1,1,3,19965.5,990.9,50167.3,2443.6
A,cores,2,1,3,24915.4,260.2,40138.7,420.8
B,workers,1,1,3,17435.6,1864.5,59712.2,6589.8
B,workers,2,2,3,26783.1,1430.5,37410.0,2050.4
B,workers,3,3,3,24454.5,303.5,40896.5,511.0
