id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Eólico Campo Largo;Campo Largo XVIII;BAEC18;EOL.CV.BA.034643-8.01;2025-05-01 00:30:00;10.692;0.0;24.314;25.443
NE;BA;Tipo II-C;Conj. Eólico Campo Largo;Campo Largo XX;BAEC20;EOL.CV.BA.034647-0.01;2025-05-01 00:30:00;8.487;0.0;28.362;36.165
NE;BA;Tipo II-C;Conj. Eólico Campo Largo;Campo Largo XXI;BAEC21;EOL.CV.BA.033633-5.01;2025-05-01 00:30:00;10.35;0.0;23.782;25.01
NE;BA;Tipo II-C;Conj. Eólico Campo Largo;Campo Largo XXII;BAEC22;EOL.CV.BA.034648-9.01;2025-05-01 00:30:00;13.454;0.0;35.201;40.201
NE;BA;Tipo II-C;Conj. Igaporã II;Candiba;BAUECB;EOL.CV.BA.030316-0.01;2025-05-01 00:30:00;13.397;0.0;9.247;9.612
NE;BA;Tipo II-C;Conj. Canudos I;Canudos I;BACAN1;EOL.CV.BA.046757-0.01;2025-05-01 00:30:00;10.109;0.0;38.955;40.502
NE;BA;Tipo II-C;Conj. Canudos I;Canudos II;BACAN2;EOL.CV.BA.046758-8.01;2025-05-01 00:30:00;10.369;0.0;38.806;45.159
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Capoeiras III;BAECA3;EOL.CV.BA.032344-6.01;2025-05-01 00:30:00;0.988;0.0;0.141;0.0
NE;BA;Tipo II-C;Conj. GPEXPAN;Carcará;BAECAR;EOL.CV.BA.031447-1.01;2025-05-01 00:30:00;5.0;1.0;0.0;4.948
NE;BA;Tipo II-C;Conj. Casa Nova;Casa Nova A;BAECNA;EOL.CV.BA.037209-9.01;2025-05-01 00:30:00;0.0;1.0;0.0;0.0
NE;BA;Tipo II-C;Conj. Casa Nova;Casa Nova II;BAECND;EOL.CV.BA.031519-2.01;2025-05-01 00:30:00;7.923;0.0;10.176;6.335
NE;BA;Tipo II-C;Conj. Casa Nova;Casa Nova III;BAECNT;EOL.CV.BA.031524-9.01;2025-05-01 00:30:00;7.572;0.0;8.396;8.379
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Cedro;BAECED;EOL.CV.BA.032098-6.01;2025-05-01 00:30:00;13.482;0.0;9.445;4.701
NE;BA;Tipo II-C;Conj. BW Guirapá II;Coqueirinho;BAECOQ;EOL.CV.BA.030738-6.01;2025-05-01 00:30:00;14.475;0.0;26.949;28.714
NE;BA;Tipo II-C;Conj. GPEXPAN;Coqueirinho 2;BAECQ2;EOL.CV.BA.031518-4.01;2025-05-01 00:30:00;11.4;1.0;0.806;5.748
NE;BA;Tipo II-C;Conj. BW Guirapá I;Corrupião;BAECOR;EOL.CV.BA.030752-1.01;2025-05-01 00:30:00;12.212;1.0;0.0;23.555
NE;BA;Tipo II-C;Conj. GPEXPAN;Corrupião 3;BAECO3;EOL.CV.BA.031458-7.01;2025-05-01 00:30:00;5.6;1.0;0.0;3.578
NE;BA;Tipo II-C;Conj. GPEXPAN;Corrupião II;BAECO2;EOL.CV.BA.037019-3.01;2025-05-01 00:30:00;13.806;0.0;17.103;17.558
NE;BA;Tipo II-C;Conj. Cristal;Cristal;BAUECR;EOL.CV.BA.030727-0.01;2025-05-01 00:30:00;10.582;0.0;26.293;27.336
NE;BA;Tipo II-C;Conj. Cristalândia;Cristalândia I;BAECR1;EOL.CV.BA.032081-1.01;2025-05-01 00:30:00;8.622;0.0;19.629;17.926
NE;BA;Tipo II-C;Conj. Cristalândia;Cristalândia II;BAECR2;EOL.CV.BA.032082-0.01;2025-05-01 00:30:00;7.612;0.0;17.036;14.622
