t_rel,cpu_pct,cpu_pct_host,proc_cpu_raw,cont_mem_used_gb,proc_rss_gb,ram_used_host_gb,gpu_util_pct,gpu_mem_gb,round
0.0019004344940185547,0.0,0.0,0.0,1.7713699340820312,1.0036811828613281,6.561206817626953,3.0,1.12567138671875,1
1.0022985935211182,75.85,15.2,151.7,3.0669517517089844,2.328929901123047,6.835044860839844,2.0,2.146484375,1
2.0027031898498535,49.5,13.2,99.0,3.454547882080078,2.726947784423828,7.241729736328125,61.0,3.9942626953125,1
3.0031332969665527,56.0,15.0,112.0,3.593902587890625,2.89501953125,7.367649078369141,40.0,4.01025390625,1
4.003514528274536,50.0,11.2,100.0,3.5940093994140625,2.895030975341797,7.379154205322266,100.0,4.004638671875,1
5.003908634185791,57.0,12.6,114.0,3.5977821350097656,2.8950958251953125,7.3861846923828125,100.0,4.00439453125,1
6.0044450759887695,57.0,13.1,114.0,3.601634979248047,2.8958702087402344,7.385662078857422,100.0,4.0050048828125,1
7.0049731731414795,64.45,16.9,128.9,3.6092872619628906,2.8970298767089844,7.448333740234375,100.0,4.0072021484375,1
8.00556468963623,94.95,19.2,189.9,3.6416587829589844,2.89752197265625,7.439678192138672,79.0,3.9896240234375,1
9.006085634231567,98.95,19.6,197.9,3.6787452697753906,2.8976707458496094,7.444053649902344,78.0,3.9871826171875,1
10.006733417510986,100.0,20.2,201.9,3.717784881591797,2.8977127075195312,7.438117980957031,100.0,3.9864501953125,1
11.007289171218872,98.45,19.1,196.9,3.755481719970703,2.8977394104003906,7.4300384521484375,79.0,3.98626708984375,1
12.007838010787964,100.0,19.0,201.9,3.79315185546875,2.8982467651367188,7.428123474121094,78.0,3.98443603515625,1
13.008417844772339,99.45,18.3,198.9,3.829639434814453,2.8982696533203125,7.440544128417969,78.0,3.9820556640625,1
14.00904130935669,98.95,18.8,197.9,3.8660545349121094,2.8982925415039062,7.445198059082031,100.0,3.97412109375,1
