Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MT;ALTA FLORESTA;CODOPEL - COMERCIAL DOBRI DE PETROLEO LTDA;24.957.987/0003-67;AVENIDA ARIOSTO DA RIVA;2561 A;0;CENTRO;78580-000;DIESEL;01/07/2004;1,88;1,428;R$ / litro;LIQUIGÁS
CO;MT;ALTA FLORESTA;P. M SOARES DA CRUZ & CIA LTDA;24.729.964/0001-33;AVENIDA I- 1;444;0;SETOR R- I;78580-000;GASOLINA;01/07/2004;2,7;1,9829;R$ / litro;LIQUIGÁS
CO;MT;ALTA FLORESTA;P. M SOARES DA CRUZ & CIA LTDA;24.729.964/0001-33;AVENIDA I- 1;444;0;SETOR R- I;78580-000;ETANOL;01/07/2004;1,7;1,3594;R$ / litro;LIQUIGÁS
CO;MT;ALTA FLORESTA;P. M SOARES DA CRUZ & CIA LTDA;24.729.964/0001-33;AVENIDA I- 1;444;0;SETOR R- I;78580-000;DIESEL;01/07/2004;1,87;1,4842;R$ / litro;LIQUIGÁS
CO;MT;ALTA FLORESTA;DIAS E ALFONSO LTDA;01.894.591/0001-50;AV. INDUSTRIAL S/N.;S/N;CAIXA POSTAL 237;"";78580-000;GASOLINA;01/07/2004;2,7;2,05;R$ / litro;SIMARELLI
CO;MT;ALTA FLORESTA;DIAS E ALFONSO LTDA;01.894.591/0001-50;AV. INDUSTRIAL S/N.;S/N;CAIXA POSTAL 237;"";78580-000;ETANOL;01/07/2004;1,7;1,03;R$ / litro;SIMARELLI
CO;MT;ALTA FLORESTA;DIAS E ALFONSO LTDA;01.894.591/0001-50;AV. INDUSTRIAL S/N.;S/N;CAIXA POSTAL 237;"";78580-000;DIESEL;01/07/2004;1,88;1,58;R$ / litro;SIMARELLI
CO;MT;ALTA FLORESTA;CASAGRANDA DERIVADOS DE PETROLEO LTDA;01.594.553/0001-82;RODOVIA MT 208;S/N;;SETOR TREVO;78580-000;GASOLINA;01/07/2004;2,65;2,1151;R$ / litro;CBPI
CO;MT;ALTA FLORESTA;CASAGRANDA DERIVADOS DE PETROLEO LTDA;01.594.553/0001-82;RODOVIA MT 208;S/N;;SETOR TREVO;78580-000;ETANOL;01/07/2004;1,6;1,0227;R$ / litro;CBPI
CO;MT;ALTA FLORESTA;CASAGRANDA DERIVADOS DE PETROLEO LTDA;01.594.553/0001-82;RODOVIA MT 208;S/N;;SETOR TREVO;78580-000;DIESEL;01/07/2004;1,75;1,471;R$ / litro;CBPI
N;PA;XINGUARA;POSTO CAVALO DE ACO LTDA;84.146.638/0001-25;RODOVIA PA 150;702;KM 113;CENTRO;68555-330;GASOLINA;01/07/2004;2,55;;R$ / litro;CBPI
N;PA;XINGUARA;POSTO CAVALO DE ACO LTDA;84.146.638/0001-25;RODOVIA PA 150;702;KM 113;CENTRO;68555-330;DIESEL;01/07/2004;1,55;1,32;R$ / litro;CBPI
N;PA;XINGUARA;POSTO CASTANHEIRAS LTDA;05.013.115/0001-34;AVENIDA XINGU;151;;CENTRO;68555-011;GASOLINA;01/07/2004;2,55;2,067;R$ / litro;BRANCA
