Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;AL;RIO LARGO;EMPREENDIMENTOS PALMARES LTDA;05.290.591/0001-00;RODOVIA BR 104 - KM. 11;S/N;LOTES 1 AO 07 LOTEAMENTO PARQUE DOS EUCALÍPTOS;ANTONIO LINS SOUZA (ANTIGO TABULEIRO DO PINTO);57100-000;DIESEL;06/07/2004;1,469;1,319;R$ / litro;BRANCA
NE;AL;RIO LARGO;REMY COMERCIO E LUBRIFICANTES LTDA;41.183.971/0002-82;LOTEAMENTO SÃO CAETANO;15190;LOTES 5 E 6  QUADRA F;TABULEIRO DO PINTO;57100-000;GASOLINA;06/07/2004;2,25;1,8701;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;REMY COMERCIO E LUBRIFICANTES LTDA;41.183.971/0002-82;LOTEAMENTO SÃO CAETANO;15190;LOTES 5 E 6  QUADRA F;TABULEIRO DO PINTO;57100-000;ETANOL;06/07/2004;1,25;1,0933;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;REMY COMERCIO E LUBRIFICANTES LTDA;41.183.971/0002-82;LOTEAMENTO SÃO CAETANO;15190;LOTES 5 E 6  QUADRA F;TABULEIRO DO PINTO;57100-000;DIESEL;06/07/2004;1,46;1,3059;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA;01.600.494/0001-08;LOTEAMENTO VILA RICA QUADRA B;12;MATA DO ROLO;CENTRO;57100-000;GASOLINA;06/07/2004;2,16;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA;01.600.494/0001-08;LOTEAMENTO VILA RICA QUADRA B;12;MATA DO ROLO;CENTRO;57100-000;ETANOL;06/07/2004;1,25;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA;01.600.494/0001-08;LOTEAMENTO VILA RICA QUADRA B;12;MATA DO ROLO;CENTRO;57100-000;DIESEL;06/07/2004;1,42;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;RIO LARGO;FLECHA S/A TURISMO COMÉRCIO E INDÚSTRIA;27.075.753/0010-03;RODOVIA BR 101;S/N;KM 75;TABULEIRO DO PINTO;57100-000;GASOLINA;08/07/2004;2,24;2,0326;R$ / litro;RAIZEN
NE;AL;RIO LARGO;FLECHA S/A TURISMO COMÉRCIO E INDÚSTRIA;27.075.753/0010-03;RODOVIA BR 101;S/N;KM 75;TABULEIRO DO PINTO;57100-000;ETANOL;08/07/2004;1,35;1,199;R$ / litro;RAIZEN
NE;AL;RIO LARGO;FLECHA S/A TURISMO COMÉRCIO E INDÚSTRIA;27.075.753/0010-03;RODOVIA BR 101;S/N;KM 75;TABULEIRO DO PINTO;57100-000;DIESEL;08/07/2004;1,409;1,3154;R$ / litro;RAIZEN
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA;05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;GASOLINA;06/07/2004;2,159;1,7703;R$ / litro;BRANCA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA;05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;ETANOL;06/07/2004;1,29;1,0794;R$ / litro;BRANCA
NE;AL;RIO LARGO;AUTO POSTO PIONEIRO LTDA;05.101.388/0001-30;RODOVIA BR 101 NORTE KM 75;S/N;ZONA RURAL;ZONA RURAL;57100-000;DIESEL;06/07/2004;1,429;1,2711;R$ / litro;BRANCA
NE;AL;RIO LARGO;ADMINISTRADORA MUNDAU LTDA;03.305.493/0001-66;RODOVIA BR 104;S/N;KM 88;MATA DO ROLO;57100-000;GASOLINA;06/07/2004;2,16;1,8346;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;ADMINISTRADORA MUNDAU LTDA;03.305.493/0001-66;RODOVIA BR 104;S/N;KM 88;MATA DO ROLO;57100-000;ETANOL;06/07/2004;1,28;1,1251;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;ADMINISTRADORA MUNDAU LTDA;03.305.493/0001-66;RODOVIA BR 104;S/N;KM 88;MATA DO ROLO;57100-000;DIESEL;06/07/2004;1,42;1,3004;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;AUTO POSTO SHELL AEROPOSTO LTDA;03.015.970/0001-59;RODOVIA BR 104  NORTE;S/N;KM 20;TABULEIRO DO PINTO;57100-000;GASOLINA;06/07/2004;2,23;1,8279;R$ / litro;RAIZEN
NE;AL;RIO LARGO;AUTO POSTO SHELL AEROPOSTO LTDA;03.015.970/0001-59;RODOVIA BR 104  NORTE;S/N;KM 20;TABULEIRO DO PINTO;57100-000;ETANOL;06/07/2004;1,2;;R$ / litro;RAIZEN
NE;AL;RIO LARGO;AUTO POSTO SHELL AEROPOSTO LTDA;03.015.970/0001-59;RODOVIA BR 104  NORTE;S/N;KM 20;TABULEIRO DO PINTO;57100-000;DIESEL;06/07/2004;1,44;1,3272;R$ / litro;RAIZEN
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0002-11;AVENIDA DR ARSENIO MOREIRA;420;;MONUMENTO;57500-000;GASOLINA;07/07/2004;2,18;1,814;R$ / litro;IPIRANGA
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0002-11;AVENIDA DR ARSENIO MOREIRA;420;;MONUMENTO;57500-000;ETANOL;07/07/2004;1,33;0,9722;R$ / litro;IPIRANGA
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0002-11;AVENIDA DR ARSENIO MOREIRA;420;;MONUMENTO;57500-000;DIESEL;07/07/2004;1,48;1,2908;R$ / litro;IPIRANGA
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0001-30;RUA DOMINGOS ACACIO;144;;DOMINGOS ACACIO;57500-000;GASOLINA;07/07/2004;2,18;1,7977;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0001-30;RUA DOMINGOS ACACIO;144;;DOMINGOS ACACIO;57500-000;ETANOL;07/07/2004;1,33;1,0838;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;SANTANA DO IPANEMA;IRMAOS JOTA PINTO & CIA LTDA;08.418.303/0001-30;RUA DOMINGOS ACACIO;144;;DOMINGOS ACACIO;57500-000;DIESEL;07/07/2004;1,48;1,2799;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0003-90;AVENIDA PRESIDENTE DUTRA;816A;;MONUMENTO;57500-000;GASOLINA;07/07/2004;2,18;;R$ / litro;CBPI
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0003-90;AVENIDA PRESIDENTE DUTRA;816A;;MONUMENTO;57500-000;ETANOL;07/07/2004;1,33;;R$ / litro;CBPI
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0003-90;AVENIDA PRESIDENTE DUTRA;816A;;MONUMENTO;57500-000;DIESEL;07/07/2004;1,48;;R$ / litro;CBPI
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0001-28;RUA DOMINGOS ACACIO;61;;DOMINGOS ACACIO;57500-000;GASOLINA;07/07/2004;2,18;;R$ / litro;BRANCA
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0001-28;RUA DOMINGOS ACACIO;61;;DOMINGOS ACACIO;57500-000;ETANOL;07/07/2004;1,33;;R$ / litro;BRANCA
NE;AL;SANTANA DO IPANEMA;JOSE CARLOS MORONI VALENCA & CIA LTDA;12.688.818/0001-28;RUA DOMINGOS ACACIO;61;;DOMINGOS ACACIO;57500-000;DIESEL;07/07/2004;1,48;;R$ / litro;BRANCA
NE;AL;SANTANA DO IPANEMA;ADILZA S. F. RAMOS;01.332.922/0001-69;RUA PEDRO BRANDÃO;370;;CAMOXINGA;57500-000;GASOLINA;07/07/2004;2,18;1,8106;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;SANTANA DO IPANEMA;ADILZA S. F. RAMOS;01.332.922/0001-69;RUA PEDRO BRANDÃO;370;;CAMOXINGA;57500-000;ETANOL;07/07/2004;1,33;1,0916;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;SANTANA DO IPANEMA;ADILZA S. F. RAMOS;01.332.922/0001-69;RUA PEDRO BRANDÃO;370;;CAMOXINGA;57500-000;DIESEL;07/07/2004;1,48;1,2872;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AM;ITACOATIARA;EMAQUISON DOS SANTOS FERREIRA;04.280.081/0001-81;AVENIDA TORQUATO TAPAJOS;1887;;PEDREIRAS;69100-000;GASOLINA;05/07/2004;2,15;1,857;R$ / litro;BRANCA
N;AM;ITACOATIARA;EMAQUISON DOS SANTOS FERREIRA;04.280.081/0001-81;AVENIDA TORQUATO TAPAJOS;1887;;PEDREIRAS;69100-000;DIESEL;05/07/2004;1,6;1,4574;R$ / litro;BRANCA
N;AM;ITACOATIARA;MARIO CORREA CABRAL;04.305.033/0001-09;MARGEM ESQUERDA DO RIO AMAZONAS;S/N;PORTO DO JAUARY;JAUARY;69100-000;GASOLINA;05/07/2004;2,13;1,7859;R$ / litro;BRANCA
N;AM;ITACOATIARA;MARIO CORREA CABRAL;04.305.033/0001-09;MARGEM ESQUERDA DO RIO AMAZONAS;S/N;PORTO DO JAUARY;JAUARY;69100-000;DIESEL;05/07/2004;1,6;1,3;R$ / litro;BRANCA
N;AM;ITACOATIARA;RODRIGUES E MARTINS LTDA;84.506.476/0001-99;RUA BENJAMIM CONSTANT;S/N;0;CENTRO;69100-000;GASOLINA;05/07/2004;2,16;1,7818;R$ / litro;BRANCA
N;AM;ITACOATIARA;RODRIGUES E MARTINS LTDA;84.506.476/0001-99;RUA BENJAMIM CONSTANT;S/N;0;CENTRO;69100-000;ETANOL;05/07/2004;1,7;;R$ / litro;BRANCA
N;AM;ITACOATIARA;RODRIGUES E MARTINS LTDA;84.506.476/0001-99;RUA BENJAMIM CONSTANT;S/N;0;CENTRO;69100-000;DIESEL;05/07/2004;1,65;1,3634;R$ / litro;BRANCA
N;AM;ITACOATIARA;POSTO FERREIRA LTDA - ME.;84.451.731/0001-43;RUA FILETO PIRES;1725;;COLONIA;69100-000;GASOLINA;05/07/2004;2,15;;R$ / litro;BRANCA
N;AM;ITACOATIARA;POSTO FERREIRA LTDA - ME.;84.451.731/0001-43;RUA FILETO PIRES;1725;;COLONIA;69100-000;DIESEL;05/07/2004;1,6;;R$ / litro;BRANCA
N;AM;ITACOATIARA;NOBRE E BRAGA LTDA.;23.039.662/0001-70;ESTRADA STONE;502;;JAUARY;69100-000;GASOLINA;05/07/2004;2,1;1,79;R$ / litro;BRANCA
N;AM;ITACOATIARA;NOBRE E BRAGA LTDA.;23.039.662/0001-70;ESTRADA STONE;502;;JAUARY;69100-000;ETANOL;05/07/2004;1,5;1,0289;R$ / litro;BRANCA
N;AM;ITACOATIARA;NOBRE E BRAGA LTDA.;23.039.662/0001-70;ESTRADA STONE;502;;JAUARY;69100-000;DIESEL;05/07/2004;1,6;1,304;R$ / litro;BRANCA
N;AM;ITACOATIARA;W. M. FERREIRA;23.038.045/0001-50;AVENIDA MARIO ANDREAZZA;3805;;SANTO ANTÔNIO;69100-000;GASOLINA;05/07/2004;2,14;;R$ / litro;BRANCA
N;AM;ITACOATIARA;ROBERT HADSON SILVA MAIA;05.082.016/0001-04;MARGEM DIREITA DA  AM - 010;S/N;KM 03;ZONA RURAL;69100-000;GASOLINA;05/07/2004;2,12;1,765;R$ / litro;BRANCA
N;AM;ITACOATIARA;ROBERT HADSON SILVA MAIA;05.082.016/0001-04;MARGEM DIREITA DA  AM - 010;S/N;KM 03;ZONA RURAL;69100-000;DIESEL;05/07/2004;1,6;1,35;R$ / litro;BRANCA
N;AM;ITACOATIARA;BARROS & OLIVEIRA LTDA;04.532.515/0001-93;RUA BORBA;3693;;SANTO ANTÔNIO;69100-000;GASOLINA;05/07/2004;2,15;1,8;R$ / litro;BRANCA
N;AM;ITACOATIARA;BARROS & OLIVEIRA LTDA;04.532.515/0001-93;RUA BORBA;3693;;SANTO ANTÔNIO;69100-000;DIESEL;05/07/2004;1,65;;R$ / litro;BRANCA
N;AM;ITACOATIARA;ADRIANO MARQUES FRANCO - ME;03.265.623/0001-84;AVENIDA ARMINDO AUZIER;238;;JAUARY;69100-000;GASOLINA;05/07/2004;2,13;1,82;R$ / litro;BRANCA
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL;03.019.535/0002-83;AVENIDA ARMINDO AUZIER;1,448;;ARAÚJO COSTA;69100-000;GASOLINA;05/07/2004;2,15;1,8525;R$ / litro;BRANCA
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL;03.019.535/0002-83;AVENIDA ARMINDO AUZIER;1,448;;ARAÚJO COSTA;69100-000;DIESEL;05/07/2004;1,6;1,4358;R$ / litro;BRANCA
N;AM;ITACOATIARA;ERMELSON DOS SANTOS FERREIRA;01.748.693/0001-68;MARGEM ESQUERDA DO RIO AMAZONAS;S/N;BEIRA RIO;CENTRO;69100-000;GASOLINA;05/07/2004;2,15;1,857;R$ / litro;DNP
N;AM;ITACOATIARA;ERMELSON DOS SANTOS FERREIRA;01.748.693/0001-68;MARGEM ESQUERDA DO RIO AMAZONAS;S/N;BEIRA RIO;CENTRO;69100-000;DIESEL;05/07/2004;1,6;1,3663;R$ / litro;DNP
N;AM;ITACOATIARA;ERMELSON DOS SANTOS FERREIRA;01.748.693/0003-20;AVENIDA PARQUE;669;;CENTRO;69100-000;GASOLINA;05/07/2004;2,15;1,857;R$ / litro;DNP
N;AM;ITACOATIARA;ERMELSON DOS SANTOS FERREIRA;01.748.693/0003-20;AVENIDA PARQUE;669;;CENTRO;69100-000;DIESEL;05/07/2004;1,6;1,4473;R$ / litro;DNP
N;AM;ITACOATIARA;AZEVEDO & FREIRE LTDA;01.112.708/0001-05;MARGEM ESQUERDA RIO AMAZONAS;S/N;;JAUARY;69100-000;GASOLINA;05/07/2004;2,1;1,79;R$ / litro;BRANCA
N;AM;ITACOATIARA;AZEVEDO & FREIRE LTDA;01.112.708/0001-05;MARGEM ESQUERDA RIO AMAZONAS;S/N;;JAUARY;69100-000;DIESEL;05/07/2004;1,6;1,395;R$ / litro;BRANCA
N;AM;PARINTINS;MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;84.110.394/0011-00;ESTRADA ODOVALDO NOVO;S/N;;DJARD VIEIRA;69152-470;GASOLINA;05/07/2004;2,09;1,79;R$ / litro;BRANCA
N;AM;PARINTINS;MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;84.110.394/0011-00;ESTRADA ODOVALDO NOVO;S/N;;DJARD VIEIRA;69152-470;DIESEL;05/07/2004;1,5;1,41;R$ / litro;BRANCA
N;AM;PARINTINS;A. C. BENTES DE ANDRADE;84.102.177/0001-99;RUA MARCOS ZAGURY;727;;SANTA RITA DE CÁSSIA;69153-290;GASOLINA;05/07/2004;2,2;1,76;R$ / litro;BRANCA
N;AM;PARINTINS;A. C. BENTES DE ANDRADE;84.102.177/0001-99;RUA MARCOS ZAGURY;727;;SANTA RITA DE CÁSSIA;69153-290;DIESEL;05/07/2004;1,66;1,33;R$ / litro;BRANCA
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0006-96;LOC. FLUTUANTE NO PORTO S/N;S/N;;CENTRO;69150-000;GASOLINA;05/07/2004;2,15;;R$ / litro;BRANCA
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0006-96;LOC. FLUTUANTE NO PORTO S/N;S/N;;CENTRO;69150-000;DIESEL;05/07/2004;1,6;;R$ / litro;BRANCA
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0008-58;RUA SÃO BENEDITO;40;;SÃO BENEDITO;69152-050;GASOLINA;05/07/2004;2,09;;R$ / litro;EQUATORIAL
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0008-58;RUA SÃO BENEDITO;40;;SÃO BENEDITO;69152-050;DIESEL;05/07/2004;1,5;;R$ / litro;EQUATORIAL
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0010-72;AVENIDA NAÇÕES UNIDAS;532;;CENTRO;69151-060;GASOLINA;05/07/2004;2,15;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0010-72;AVENIDA NAÇÕES UNIDAS;532;;CENTRO;69151-060;ETANOL;05/07/2004;1,68;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AM;PARINTINS;CLAUDOMIRO PICANÇO CARVALHO;04.598.330/0010-72;AVENIDA NAÇÕES UNIDAS;532;;CENTRO;69151-060;DIESEL;05/07/2004;1,6;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AM;PARINTINS;M C D CARVALHO & CIA LTDA;02.748.653/0002-60;MARGEM DIREITA DA LAGOA DA FRANCESA;SN;;FRANCESA;69151-000;GASOLINA;05/07/2004;2,2;1,7314;R$ / litro;DNP
N;AM;PARINTINS;M C D CARVALHO & CIA LTDA;02.748.653/0002-60;MARGEM DIREITA DA LAGOA DA FRANCESA;SN;;FRANCESA;69151-000;DIESEL;05/07/2004;1,65;1,3217;R$ / litro;DNP
N;AM;PARINTINS;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI;01.492.748/0002-00;RUA SILVA CAMPOS;1357;"";CENTRO;69151-590;GASOLINA;05/07/2004;2,19;1,7942;R$ / litro;DNP
N;AM;PARINTINS;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI;01.492.748/0002-00;RUA SILVA CAMPOS;1357;"";CENTRO;69151-590;DIESEL;05/07/2004;1,65;1,3202;R$ / litro;DNP
N;AP;CALCOENE;POSTO CALÇOENE - BEIRA RIO LTDA.;05.031.201/0001-70;RUA HUGOLINO PINHEIRO;360;;BEIRA RIO;68960-000;GASOLINA;05/07/2004;2,65;;R$ / litro;BRANCA
N;AP;CALCOENE;POSTO CALÇOENE - BEIRA RIO LTDA.;05.031.201/0001-70;RUA HUGOLINO PINHEIRO;360;;BEIRA RIO;68960-000;DIESEL;05/07/2004;1,75;;R$ / litro;BRANCA
N;AP;CALCOENE;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0007-02;AVENIDA MANOEL SARMENTO;151;;CENTRO;68960-000;GASOLINA;05/07/2004;2,68;;R$ / litro;IPIRANGA
N;AP;CALCOENE;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0007-02;AVENIDA MANOEL SARMENTO;151;;CENTRO;68960-000;DIESEL;05/07/2004;1,79;;R$ / litro;IPIRANGA
N;AP;CALCOENE;CALCOMAR INDUSTRIA DE PESCA LTDA;03.554.283/0001-01;AVENIDA FAB;S/N;;CENTRO;68900-002;DIESEL;05/07/2004;1,8;1,42;R$ / litro;BRANCA
N;AP;MACAPA;POSTO SAO LAZARO LTDA;04.261.230/0001-65;RUA ADILSON PINTO PEREIRA;1101;;SÃO LAZARO;68900-000;GASOLINA;07/07/2004;2,27;1,9888;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;POSTO SAO LAZARO LTDA;04.261.230/0001-65;RUA ADILSON PINTO PEREIRA;1101;;SÃO LAZARO;68900-000;ETANOL;07/07/2004;1,85;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;POSTO SAO LAZARO LTDA;04.261.230/0001-65;RUA ADILSON PINTO PEREIRA;1101;;SÃO LAZARO;68900-000;DIESEL;07/07/2004;1,55;1,3946;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;C.O.D. COMBUSTÍVEIS ÓLEOS E DERIVADOS LTDA;05.624.886/0002-49;AVENIDA ANTONIO COELHO DE CARVALHO;2383;;SANTA RITA;68901-280;GASOLINA;07/07/2004;2,25;1,9752;R$ / litro;IPIRANGA
N;AP;MACAPA;C.O.D. COMBUSTÍVEIS ÓLEOS E DERIVADOS LTDA;05.624.886/0002-49;AVENIDA ANTONIO COELHO DE CARVALHO;2383;;SANTA RITA;68901-280;DIESEL;07/07/2004;1,6;1,3665;R$ / litro;IPIRANGA
N;AP;MACAPA;C.O.D. COMBUSTÍVEIS ÓLEOS E DERIVADOS LTDA;05.624.886/0001-68;AVENIDA DOS TAMOIOS;248;;BEIROL;68902-180;GASOLINA;07/07/2004;2,25;;R$ / litro;IPIRANGA
N;AP;MACAPA;C.O.D. COMBUSTÍVEIS ÓLEOS E DERIVADOS LTDA;05.624.886/0001-68;AVENIDA DOS TAMOIOS;248;;BEIROL;68902-180;DIESEL;07/07/2004;1,6;;R$ / litro;IPIRANGA
N;AP;MACAPA;G. S. & CIA LTDA;05.604.435/0001-69;AVENIDA TEREZA MACIEL TAVARES;65;A;MUCA;68902-590;GASOLINA;07/07/2004;2,211;1,9795;R$ / litro;IPIRANGA
N;AP;MACAPA;G. S. & CIA LTDA;05.604.435/0001-69;AVENIDA TEREZA MACIEL TAVARES;65;A;MUCA;68902-590;ETANOL;07/07/2004;1,85;1,4057;R$ / litro;IPIRANGA
N;AP;MACAPA;G. S. & CIA LTDA;05.604.435/0001-69;AVENIDA TEREZA MACIEL TAVARES;65;A;MUCA;68902-590;DIESEL;07/07/2004;1,55;1,3563;R$ / litro;IPIRANGA
N;AP;MACAPA;AUTO POSTO ALFAVILLE LTDA;01.887.085/0001-34;RODOVIA SALVADOR DINIZ;331;KM 1;FAZENDINHA;68912-250;GASOLINA;07/07/2004;2,18;1,9707;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;AUTO POSTO ALFAVILLE LTDA;01.887.085/0001-34;RODOVIA SALVADOR DINIZ;331;KM 1;FAZENDINHA;68912-250;ETANOL;07/07/2004;1,85;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;AUTO POSTO ALFAVILLE LTDA;01.887.085/0001-34;RODOVIA SALVADOR DINIZ;331;KM 1;FAZENDINHA;68912-250;DIESEL;07/07/2004;1,55;1,4027;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;JOSE MOURA & CIA LTDA;02.248.483/0002-54;RUA ELIEZER LEVY;1047;;CENTRO;68900-140;GASOLINA;07/07/2004;2,24;1,9672;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;JOSE MOURA & CIA LTDA;02.248.483/0002-54;RUA ELIEZER LEVY;1047;;CENTRO;68900-140;ETANOL;07/07/2004;1,9;1,7082;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;JOSE MOURA & CIA LTDA;02.248.483/0002-54;RUA ELIEZER LEVY;1047;;CENTRO;68900-140;DIESEL;07/07/2004;1,6;1,3906;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;LEOMARIO BATISTA DE OLIVEIRA;02.739.184/0001-31;RUA ANTONIO MARTINS DA SILVA;240;;JARDIM EQUATORIAL;68902-820;GASOLINA;07/07/2004;2,19;1,98;R$ / litro;IPIRANGA
N;AP;MACAPA;LEOMARIO BATISTA DE OLIVEIRA;02.739.184/0001-31;RUA ANTONIO MARTINS DA SILVA;240;;JARDIM EQUATORIAL;68902-820;DIESEL;07/07/2004;1,55;1,38;R$ / litro;IPIRANGA
N;AP;MACAPA;COMERCIAL BRITO NUNES LTDA;34.927.772/0003-57;RUA LEOPOLDO MACHADO;2257;;CENTRO;68908-120;GASOLINA;07/07/2004;2,28;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;COMERCIAL BRITO NUNES LTDA;34.927.772/0003-57;RUA LEOPOLDO MACHADO;2257;;CENTRO;68908-120;ETANOL;07/07/2004;1,9;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;COMERCIAL BRITO NUNES LTDA;34.927.772/0003-57;RUA LEOPOLDO MACHADO;2257;;CENTRO;68908-120;DIESEL;07/07/2004;1,6;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;SILVA E FILHO COMERCIO E REPRESENTAÇÃO LTDA;34.934.638/0001-11;AVENIDA BEIRA RIO;01 -B;0;PERPÉTUO SOCORRO;68900-000;GASOLINA;07/07/2004;2,17;2,0176;R$ / litro;IPIRANGA
N;AP;MACAPA;SILVA E FILHO COMERCIO E REPRESENTAÇÃO LTDA;34.934.638/0001-11;AVENIDA BEIRA RIO;01 -B;0;PERPÉTUO SOCORRO;68900-000;DIESEL;07/07/2004;1,57;1,3082;R$ / litro;IPIRANGA
N;AP;MACAPA;A.C. CAMBRAIA;23.068.984/0001-48;RUA HILDEMAR MAIA;900;;SANTA RITA;68902-220;GASOLINA;07/07/2004;2,19;2,027;R$ / litro;IPIRANGA
N;AP;MACAPA;A.C. CAMBRAIA;23.068.984/0001-48;RUA HILDEMAR MAIA;900;;SANTA RITA;68902-220;DIESEL;07/07/2004;1,5;1,3621;R$ / litro;IPIRANGA
N;AP;MACAPA;A.C. CAMBRAIA;23.068.984/0002-29;RUA GENERAL RONDON;1082;;CENTRO;68900-130;GASOLINA;07/07/2004;2,26;2,0074;R$ / litro;IPIRANGA
N;AP;MACAPA;A.C. CAMBRAIA;23.068.984/0002-29;RUA GENERAL RONDON;1082;;CENTRO;68900-130;DIESEL;07/07/2004;1,55;1,312;R$ / litro;IPIRANGA
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0008-93;AVENIDA FELICIANO COELHO;775;;TREM;68905-160;GASOLINA;07/07/2004;2,24;1,939;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0008-93;AVENIDA FELICIANO COELHO;775;;TREM;68905-160;DIESEL;07/07/2004;1,55;1,4049;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0014-31;RODOVIA BR 156;S/N;KM 08;ZONA RURAL;68900-000;GASOLINA;07/07/2004;2,27;;R$ / litro;IPIRANGA
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0014-31;RODOVIA BR 156;S/N;KM 08;ZONA RURAL;68900-000;ETANOL;07/07/2004;2,15;;R$ / litro;IPIRANGA
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA;05.983.192/0014-31;RODOVIA BR 156;S/N;KM 08;ZONA RURAL;68900-000;DIESEL;07/07/2004;1,55;;R$ / litro;IPIRANGA
