Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S24127700024,02/19/2015,3678,"Smoke Shop, The",1918 SE 14TH ST,DES MOINES,50320,POINT (-93.597011 41.570844),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,4.89,7.34,2,14.68,1.00,0.26
S15066200002,10/10/2013,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,305,MHW Ltd,904969,Sabe Premiom Sake Double Barrel,6,750,14.99,22.49,6,134.94,4.50,1.19
S19323500030,06/03/2014,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,Page,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.34,6.51,12,78.12,12.00,3.17
S23334500013,01/06/2015,4810,Kum & Go #518 / Ankeny,3603 NE OTTERVIEW CIRCLE,ANKENY,50021,POINT (-93.572458 41.760989),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,5.54,8.31,1,8.31,0.50,0.13
S09742200010,12/27/2012,4025,Karam Kaur Khasriya Llc,702 13TH ST,BELLE PLAINE,52208,POINT (-92.277759 41.897052),06,Benton,1012100,CANADIAN WHISKIES,260,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.00,46.49,2,92.98,3.50,0.92
S15034600007,10/09/2013,4583,Kum & Go #5100 / Manson,208 MAIN ST,MANSON,50563,POINT (-94.534532 42.517855),13,Calhoun,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,12.50,18.75,6,112.50,4.50,1.19
S25185100053,04/21/2015,5080,C's Liquor Store,719 2ND AVE W,SPENCER,51301,POINT (-95.147741 43.14521),21,Clay,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69713,Dr. McGillicuddy's Peach Mini,12,500,4.96,7.44,1,7.44,0.50,0.13
S25786400073,05/21/2015,5102,Wilkie Liquors,"724, 1st  ST  SE",MOUNT VERNON,52314,POINT (-91.410401 41.918328),57,Linn,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,4.05,6.08,24,145.92,24.00,6.34
S26178600169,06/15/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66206,Piehole Cherry Pie Mini,12,500,4.90,7.35,1,7.35,0.50,0.13
S11599200028,04/11/2013,2630,Hy-Vee Drugstore #2 / WDM,1010  60TH ST,WEST DES MOINES,50266,POINT (-93.790534 41.584979),77,Polk,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
S14039300026,08/21/2013,3916,Smokin' Joe's #5 Tobacco and Liquor,1115 ALBIA RD,OTTUMWA,52501,POINT (-92.437224 41.009342),90,Wapello,1012100,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,7.65,11.48,1,11.48,0.38,0.10
S14777200004,09/25/2013,4073,"Uptown Liquor, Llc",306 HWY 69 SOUTH,FOREST CITY,50436,POINT (-93.633306 43.261538),95,Winnebago,1012100,CANADIAN WHISKIES,55,Sazerac North America,12407,Canadian Ltd Whisky,12,1000,5.50,8.25,12,99.00,12.00,3.17
S28698700004,10/27/2015,2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,POINT (-92.67556000000002 43.066993),34,Floyd,1031080,VODKA 80 PROOF,260,Diageo Americas,37426,Popov Vodka 80 Prf Traveler,12,750,4.50,6.75,12,81.00,9.00,2.38
S15825800006,11/20/2013,4465,HOME TOWN FOOD ON 4,714 S EAST ST,POMEROY,50575,POINT (-94.678054 42.542993),13,Calhoun,1011100,BLENDED WHISKIES,434,Luxco-St Louis,24156,Hawkeye Blend Whiskey,12,750,3.36,5.04,24,120.96,18.00,4.76
S27233900076,08/10/2015,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,27.00,40.50,12,486.00,9.00,2.38
S11716100052,04/17/2013,3990,Cork and Bottle / Oskaloosa,309 A AVE WEST,OSKALOOSA,52577,POINT (-92.648153 41.296228),62,Mahaska,1032200,IMPORTED VODKA - MISC,35,"Bacardi U.S.A., Inc.",34436,Grey Goose Vodka L'orange,6,750,17.97,26.96,1,26.96,0.75,0.20
S28977300019,11/10/2015,4743,No Frills Supermarkets #791 / Counci,1801 VALLEY VIEW DR,COUNCIL BLUFFS,51503,POINT (-95.81877500000002 41.24394),78,Pottawattamie,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,1750,20.25,30.38,6,182.28,10.50,2.77
S10005300010,01/15/2013,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12476,Canadian Mist Whiskey Pet,12,750,5.44,8.15,12,97.80,9.00,2.38
S08028500005,10/01/2012,4109,Best Trip,1516 SE 1ST,DES MOINES,50315,POINT (-93.613469 41.57592900000001),77,Polk,1011500,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,6,162.78,4.50,1.19
S12260600026,05/16/2013,3918,Smokin' Joe's #1 Tobacco and Liquor,3120 ROCKINGHAM RD,DAVENPORT,52802,POINT (-90.621541 41.510082),82,Scott,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80576,Arrow Peppermint Schnapps,12,750,3.42,5.13,1,5.13,0.75,0.20
S05150800069,04/19/2012,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41705,Uv Red (cherry) Vodka,12,1000,7.50,11.25,12,135.00,12.00,3.17
S05840900002,06/04/2012,4607,Casey's General Store #1024 / Gutten,"1131, S HWY 52",GUTTENBERG,52052,POINT (-91.100516 42.772826),22,Clayton,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,4.83,7.44,12,89.28,9.00,2.38
S08776300016,11/06/2012,4252,Fareway Stores #840 / Monticello,433 N FARLEY ST,MONTICELLO,52310,POINT (-91.191385 42.241939),53,Jones,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,1750,7.10,10.65,12,127.80,21.00,5.55
S04839100021,04/02/2012,4104,Fareway Stores #491 / Mason City,400 NORTH DELAWARE AVE,MASON CITY,50401,POINT (-93.199494 43.155945),17,Cerro Gordo,1062310,SPICED RUM,260,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,10.99,16.49,12,197.88,12.00,3.17
S08988000006,11/16/2012,2659,Hy-Vee Food Store / Corydon,303 E JEFFERSON ST,CORYDON,50060,POINT (-93.31531 40.757159),93,Wayne,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,8.92,13.38,6,80.28,10.50,2.77
S10339000008,01/30/2013,4729,No Frills Supermarkets #790 / Deniso,501 HIGHWAY 39 NORTH,DENISON,51442,POINT (-95.368652 42.02183),24,Crawford,1011200,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21598,Ten High,6,1750,9.23,13.85,18,249.30,31.50,8.32
S08106000055,10/03/2012,2611,Hy-Vee Drugstore / Ottumwa,1140 NORTH JEFFERSON ST,OTTUMWA,52501,POINT (-92.401538 41.026754000000004),90,Wapello,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86805,Southern Comfort Bold Black Cherry Mini,12,500,4.70,7.05,1,7.05,0.50,0.13
S17363800010,02/12/2014,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81204,Paramount Peppermint Schnapps,24,375,2.28,3.42,12,41.04,4.50,1.19
S06284100021,06/27/2012,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 BOYSON RD NE,CEDAR RAPIDS,52402,POINT (-91.63913 42.04671),57,Linn,1031080,VODKA 80 PROOF,260,Diageo Americas,37998,Smirnoff Vodka 80 Prf,6,1750,14.50,21.74,6,130.44,10.50,2.77
S28567100138,10/20/2015,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1012100,CANADIAN WHISKIES,260,Diageo Americas,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,3,33.09,0.90,0.24
S09780100062,12/28/2012,3656,Target Store T-1767 / Ankeny,2135 SE DELAWARE AVE,ANKENY,50021,POINT (-93.581201 41.708563),77,Polk,1071100,AMERICAN COCKTAILS,395,Proximo,58875,Jose Cuervo Golden Margarita,6,1750,10.50,15.74,6,94.44,10.50,2.77
S15525000011,11/05/2013,4576,THE BOONEDOCKS,228 N HWY 71,ARNOLDS PARK,51331,POINT (-95.125928 43.370941),30,Dickinson,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76036,Midnight Moon Apple Pie,6,750,10.42,15.63,6,93.78,4.50,1.19
S28815500098,11/03/2015,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,POINT (-95.149955 43.331525),30,Dickinson,1071100,AMERICAN COCKTAILS,395,Proximo,58868,Jose Cuervo Authentic Strawberry Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
S18951700010,05/14/2014,4807,Williamsburg Foods,"103, W WALNUT ST",WILLIAMSBURG,52361,POINT (-92.007391 41.662819),48,Iowa,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,9.70,14.92,18,268.56,31.50,8.32
S10313400008,01/30/2013,4629,Kwik Shop #541 / Glenwood,309 N LOCUST ST,GLENWOOD,51534,POINT (-95.744909 41.050184),65,Mills,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81204,Paramount Peppermint Schnapps,24,375,2.27,3.41,12,40.92,4.50,1.19
S08799600133,11/06/2012,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,Polk,1062310,SPICED RUM,434,Luxco-St Louis,44657,Lady Bligh Spiced Rum,12,1000,7.00,10.50,2,21.00,2.00,0.53
S07879500016,09/24/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43128,Bacardi Superior Rum,6,1750,14.67,22.00,12,264.00,21.00,5.55
S10439600036,02/05/2013,2448,Bottle Boutique,705 E. SECOND,INDIANOLA,50125,POINT (-93.55261600000001 41.358176),91,Warren,1031080,VODKA 80 PROOF,301,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.64,14.46,1,14.46,0.75,0.20
S10074500083,01/16/2013,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48164,Hennessy VSOP Privilege,12,750,29.99,44.99,2,89.98,1.50,0.40
S18888700070,05/12/2014,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,Lee,1012100,CANADIAN WHISKIES,260,Diageo Americas,11366,Crown Royal Special Reserve,12,750,24.50,36.74,1,36.74,0.75,0.20
S05993200067,06/11/2012,2652,Hy-Vee DrugStore / Mason City,875  4TH ST SW,MASON CITY,50401,POINT (-93.213856 43.148257),17,Cerro Gordo,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,1750,20.25,30.37,6,182.22,10.50,2.77
S15895800014,11/22/2013,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,Linn,1062310,SPICED RUM,260,Diageo Americas,43285,Captain Morgan Original Spiced Rum Pet,12,750,8.75,13.12,12,157.44,9.00,2.38
S15450200025,10/30/2013,4273,Smokin' Joe's #4 Tobacco and Liquor,2800 E UNIVERSITY AVE,DES MOINES,50317,POINT (-93.562106 41.600564),77,Polk,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.24,7.87,1,7.87,0.20,0.05
S11159200014,03/19/2013,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,11.28,16.93,6,101.58,10.50,2.77
S16190500007,12/10/2013,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,Page,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,6,64.02,10.50,2.77
S28454700005,10/14/2015,4462,SHELTON'S,"113, 1ST ST NW",BUFFALO CENTER,50424,POINT (-93.947595 43.386755),95,Winnebago,1062310,SPICED RUM,395,Proximo,46504,Kraken Black Spiced Rum,12,750,10.00,15.00,2,30.00,1.50,0.40
S20848800069,08/25/2014,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1011100,BLENDED WHISKIES,297,Laird And Company,23826,Five Star,12,750,3.46,5.19,12,62.28,9.00,2.38
S24132600001,02/24/2015,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1071100,AMERICAN COCKTAILS,421,"Sazerac Co., Inc.",59037,Desert Island Long Island Ice Tea Cocktail,12,1000,3.86,6.04,360,2174.40,360.00,95.10
S16706300077,01/07/2014,2532,Hy-Vee Food Store #2 / Des Moines,2540 E EUCLID,DES MOINES,50317,POINT (-93.569452 41.627838),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,260,Diageo Americas,43325,Captain Morgan White Mini,12,500,4.97,7.46,12,89.52,6.00,1.59
S21751800032,10/14/2014,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,POINT (-93.854477 41.615059),25,Dallas,1011100,BLENDED WHISKIES,260,Diageo Americas,25616,Seagrams 7 Crown Pet Flask,12,750,7.00,10.50,12,126.00,9.00,2.38
S10795900018,02/27/2013,4477,Bucky's Express #17 / Council Bluffs,1759 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.824952 41.242658),78,Pottawattamie,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41857,Uv Cherry Red Vodka Mini,6,500,4.88,7.32,1,7.32,0.50,0.13
S28403700031,10/12/2015,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT (-91.701581 42.030129),57,Linn,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19477,Maker's Mark,12,1000,22.04,33.06,2,66.12,2.00,0.53
S11595400052,04/11/2013,3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,,57,Linn,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11777,Black Velvet,12,1000,6.63,9.94,1,9.94,1.00,0.26
S09347600025,12/06/2012,2130,Sycamore Convenience,617 SYCAMORE,WATERLOO,50703,POINT (-92.335358 42.497854),07,Black Hawk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.33,6.50,12,78.00,12.00,3.17
S15816300019,11/19/2013,3712,Monte Spirits,109 N 4TH ST,MONTEZUMA,50171,POINT (-92.523692 41.585429),79,Poweshiek,1012100,CANADIAN WHISKIES,260,Diageo Americas,10836,Crown Royal Black,12,750,17.00,25.49,2,50.98,1.50,0.40
S21191500012,09/15/2014,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,POINT (-91.590715 41.682013),52,Johnson,1081200,CREAM LIQUEURS,305,MHW Ltd,73054,Rumchata,6,1750,24.34,36.51,6,219.06,10.50,2.77
S15890300008,11/22/2013,3713,Wal-Mart 0810 / Mason City,4151  4TH ST SW,MASON CITY,50401,POINT (-93.261648 43.148239),17,Cerro Gordo,1062310,SPICED RUM,35,"Bacardi U.S.A., Inc.",43205,Bacardi Oakheart,12,750,7.74,11.61,12,139.32,9.00,2.38
S26099300009,06/09/2015,4395,KUM & GO #133 / ELLSWORTH,1111 IA HIGHWAY 175,ELLSWORTH,50075,POINT (-93.572941 42.309754),40,Hamilton,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,9.00,13.50,12,162.00,9.00,2.38
S21645700018,10/08/2014,3632,Wal-Mart 2004 / Dubuque,4200 DODGE ST,DUBUQUE,52003,POINT (-90.736955 42.489041),31,Dubuque,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43046,Bacardi Select Rum,12,750,7.25,11.25,12,135.00,9.00,2.38
S04359200076,03/01/2012,3890,Smokin' Joe's #7 Tobacco and Liquor,904  1ST AVE NW,CEDAR RAPIDS,52405,POINT (-91.683669 41.972773),57,Linn,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,26.08,39.13,2,78.26,1.50,0.40
S24331500022,03/03/2015,4704,The Filling Station / Council Bluffs,1531 2nd AVE,COUNCIL BLUFFS,51501,POINT (-95.867208 41.259698),78,Pottawattamie,1062310,SPICED RUM,260,Diageo Americas,43302,Captain Morgan Black Spiced,12,750,11.00,16.50,1,16.50,0.75,0.20
S26915000040,07/22/2015,4295,Nat Food Mart #1 / Hubbell,3804 HUBBELL,DES MOINES,50317,POINT (-93.541351 41.630849),77,Polk,1032080,IMPORTED VODKA,260,Diageo Americas,34164,Ciroc Luxury Vodka,24,200,5.00,7.50,4,30.00,0.80,0.21
S23948600018,02/10/2015,4235,Fareway Stores #395 / Webster City,942  2ND ST,WEBSTER CITY,50595,POINT (-93.827718 42.469488),40,Hamilton,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,10627,Canadian Club Whisky,12,1000,9.71,14.57,4,58.28,4.00,1.06
S23127000003,12/22/2014,4349,Southside Food Mart,1101 ARMY POST RD,DES MOINES,50315,POINT (-93.628783 41.526511),77,Polk,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36304,Hawkeye Vodka,24,375,2.07,3.11,24,74.64,9.00,2.38
S22514500033,11/20/2014,2627,Hy-Vee Wine and Spirits #1,3424 MARTIN LUTHER KING JR PKW,DES MOINES,50310,POINT (-93.65129 41.626668),77,Polk,1041100,AMERICAN DRY GINS,259,Heaven Hill Brands,29568,Burnett's Gin London Dry,6,1750,10.30,15.45,3,46.35,5.25,1.39
S26928900009,07/23/2015,4367,Kum & Go #109 / Mason City,1224 N FEDERAL AVE,MASON CITY,50401,POINT (-93.201061 43.163367),17,Cerro Gordo,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81204,Paramount Peppermint Schnapps,24,375,2.28,3.42,5,17.10,1.88,0.50
S08030900045,10/01/2012,4209,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,POINT (-93.771698 41.688332),77,Polk,1101100,AMERICAN ALCOHOL,434,Luxco-St Louis,41846,Everclear Alcohol,12,750,8.25,12.38,12,148.56,9.00,2.38
S15988500005,12/02/2013,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
S24544600012,03/17/2015,4887,Kum & Go #66 / West Des Moines,5308 UNIVERSITY AVE,WEST DES MOINES,50266,POINT (-93.778685 41.60046),77,Polk,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.85,14.78,12,177.36,9.00,2.38
S29331400135,11/30/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1012210,SINGLE MALT SCOTCH,260,Diageo Americas,5430,Lagavulin 16yr Single Malt Scotch,12,750,49.99,74.99,2,149.98,1.50,0.40
S09408600013,12/11/2012,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1012210,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5037,Glenlivet 12 Yr Malt Scotch,12,1000,26.90,40.35,12,484.20,12.00,3.17
S28810600019,11/03/2015,3626,Wal-Mart 2714 / Spencer,500  11TH ST,SPENCER,51301,POINT (-95.152474 43.126816),21,Clay,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.90,10.35,12,124.20,9.00,2.38
S09576600043,12/19/2012,3514,Karen's Spirits and Wine,328  2ND AVE S,FORT DODGE,50501,POINT (-94.192501 42.502311),94,Webster,1012300,IRISH WHISKIES,395,Proximo,64581,Bushmills Irish Honey,12,750,12.99,19.49,3,58.47,2.25,0.59
S27471400028,08/26/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,POINT (-94.218 43.29355),55,Kossuth,1062310,SPICED RUM,260,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,11.75,17.63,36,634.68,36.00,9.51
S06278500070,06/27/2012,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44,Henry,1012200,SCOTCH WHISKIES,260,Diageo Americas,10009,Scoresby Rare Scotch,12,1000,6.15,9.23,12,110.76,12.00,3.17
S28004700019,09/21/2015,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,POINT (-93.505276 41.644195),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,46350,Hawkeye Light Rum,6,1750,7.67,11.51,6,69.06,10.50,2.77
S11071300029,03/13/2013,3403,Econ-o-mart / Columbus Junction,113 EAST WALNUT ST.,COLUMBUS JUNCTION,52738,POINT (-91.358467 41.280183),58,Louisa,1071100,AMERICAN COCKTAILS,395,Proximo,58868,Jose Cuervo Authentic Strawberry Margarita,6,1750,8.20,12.30,2,24.60,3.50,0.92
S14770600181,09/25/2013,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53,Jones,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.59,6.89,1,6.89,1.00,0.26
S28268800047,10/05/2015,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,,07,Black Hawk,1012100,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,7.35,11.03,2,22.06,0.60,0.16
S05395900085,05/07/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1031080,VODKA 80 PROOF,297,Laird And Company,35916,Five O'clock Vodka,12,750,3.31,4.96,12,59.52,9.00,2.38
S23317400042,01/05/2015,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1022100,TEQUILA,421,"Sazerac Co., Inc.",88767,Tortilla White Tequila,12,1000,6.64,9.96,2,19.92,2.00,0.53
S24534600024,03/16/2015,2841,CVS Pharmacy #8532 / Cedar Rapids,2711 MT VERNON RD,CEDAR RAPIDS,52403,POINT (-91.62746800000001 41.976883),57,Linn,1012300,IRISH WHISKIES,240,"WILLIAM GRANT AND SONS, INC.",15940,Tullamore Dew Irish Whisky,12,750,14.38,21.57,3,64.71,2.25,0.59
S23308200114,01/05/2015,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57,Linn,1022100,TEQUILA,65,Jim Beam Brands,89846,Tres Generaciones Anejo,6,750,21.00,31.50,3,94.50,2.25,0.59
S19899300041,07/02/2014,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,POINT (-91.281344 42.108275),53,Jones,1062310,SPICED RUM,259,Heaven Hill Brands,43022,Admiral Nelson Spiced Rum Mini,12,500,3.78,5.66,12,67.92,6.00,1.59
S21914800008,10/21/2014,3969,"R 'n D's Liquor, Llc",205 NE 6TH ST,GREENFIELD,50849,POINT (-94.45329 41.306142),01,Adair,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26828,Jack Daniels Old #7 Black Lbl,6,1750,28.69,43.04,6,258.24,10.50,2.77
S24769800006,03/30/2015,4188,"Main St. Market, Inc.",882 MAIN ST,HOLY CROSS,52053,POINT (-90.995943 42.600941),31,Dubuque,1031200,VODKA FLAVORED,260,Diageo Americas,41076,Jeremiah Weed Sweet Tea Vodka,12,750,9.65,14.48,12,173.76,9.00,2.38
S08757700008,11/05/2012,4814,"Byron Supermarket, Inc.",306 BYRON AVE,WATERLOO,50702,POINT (-92.353141 42.480288),07,Black Hawk,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43197,Bacardi Torched Cherry,12,750,8.33,12.49,2,24.98,1.50,0.40
S13543200071,07/24/2013,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,POINT (-90.611972 41.538207),82,Scott,1022100,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,9.49,14.73,12,176.76,9.00,2.38
S18428700098,04/15/2014,4177,"Good Luck, Inc.",806 W MAIN ST,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64,Marshall,1031080,VODKA 80 PROOF,297,Laird And Company,35914,Five O'clock Vodka,24,375,1.93,2.89,4,11.56,1.50,0.40
S23882100024,02/05/2015,4269,Tipton Family Foods,610 CEDAR ST,TIPTON,52772,POINT (-91.128389 41.771753),16,Cedar,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21.00,5.55
S05277800001,04/30/2012,3713,Wal-Mart 0810 / Mason City,4151  4TH ST SW,MASON CITY,50401,POINT (-93.261648 43.148239),17,Cerro Gordo,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.36,14.04,12,168.48,9.00,2.38
