Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S04049700037,02/13/2012,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,POINT (-94.013374 41.336405),61,Madison,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19061,Jim Beam Mini,12,500,6.83,10.24,1,10.24,0.50,0.13
S17761500042,03/06/2014,2564,Hy-Vee Food Store #4 / Waterloo,4000 UNIVERSITY,WATERLOO,50701,POINT (-92.403843 42.505197),07,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,29728,Calvert Gin,6,1750,7.17,10.76,6,64.56,10.50,2.77
S03665900152,01/19/2012,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52,Johnson,1032080,IMPORTED VODKA,267,"Imperial Brands, Inc.",35213,Sobieski Vodka,6,1750,10.98,16.48,1,16.48,1.75,0.46
S14906700018,10/03/2013,4837,Kum & Go #51 / Iowa City,323 E BURLINGTON ST,IOWA CITY,52240,POINT (-91.530633 41.657837),52,Johnson,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,13.75,21.13,6,126.78,4.50,1.19
S28037400018,09/22/2015,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77,Polk,1031080,VODKA 80 PROOF,55,Sazerac North America,35313,Barton Vodka,48,200,1.13,1.70,3,5.10,0.60,0.16
S15771400009,11/18/2013,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,POINT (-91.650755 41.988967),57,Linn,1022100,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.73,12,188.76,9.00,2.38
S10182700101,01/22/2013,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1081340,ROOT BEER SCHNAPPS,65,Jim Beam Brands,82826,Dekuyper Ragin' Root Beer Schnapps,12,750,6.30,9.45,2,18.90,1.50,0.40
S18733500009,05/01/2014,4077,Xo Food And Liquor,428 FRANKLIN ST,WATERLOO,50703,POINT (-92.33464100000002 42.501602),07,Black Hawk,1012200,SCOTCH WHISKIES,260,Diageo Americas,5347,Johnnie Walker Red Label Scotch,12,1000,17.25,25.87,12,310.44,12.00,3.17
S11233900025,03/21/2013,4348,Jeff's Market / Wilton,101 E 4TH,WILTON,52778,POINT (-91.016579 41.58873),70,Muscatine,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69611,Dr. Mcgillicuddy's Apple Pie Schnapps,12,750,8.32,12.48,2,24.96,1.50,0.40
S25347700005,04/28/2015,2475,"Private Cellar, Inc.",206 2ND AVE NE,WEST BEND,50597,POINT (-94.443 42.96298),55,Kossuth,1081315,CINNAMON SCHNAPPS,421,"Sazerac Co., Inc.",82957,Firewater Cinnamon Schnapps,12,1000,9.87,14.81,12,177.72,12.00,3.17
S25612500011,05/14/2015,4882,Casey's General Store #3026 / St Cha,"209, E MAIN ST",ST CHARLES,50240,POINT (-93.803774 41.288487),61,Madison,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36901,McCormick Vodka Mini,6,500,4.67,7.01,2,14.02,1.00,0.26
S05695800040,05/23/2012,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,POINT (-95.899346 41.557404),43,Harrison,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26820,Jack Daniels Old #7 Black Lbl Flat,24,375,6.06,9.09,6,54.54,2.25,0.59
S08516300031,10/23/2012,3808,Thriftway,300  4TH ST,LA PORTE CITY,50651,POINT (-92.190813 42.316243),07,Black Hawk,1081600,WHISKEY LIQUEUR,260,Diageo Americas,67266,Yukon Jack Canadian Liqueur,12,750,9.00,13.49,2,26.98,1.50,0.40
S06059600011,06/13/2012,2611,Hy-Vee Drugstore / Ottumwa,1140 NORTH JEFFERSON ST,OTTUMWA,52501,POINT (-92.401538 41.026754000000004),90,Wapello,1062310,SPICED RUM,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.32,6,103.92,10.50,2.77
S13651400025,07/31/2013,4681,Spirits & Such,100 E ELM ST,WEST UNION,52175,POINT (-91.807891 42.961269),33,Fayette,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28233,Bombay Sapphire Gin,12,1000,17.61,26.41,1,26.41,1.00,0.26
S09697300122,12/26/2012,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1062300,FLAVORED RUM,260,Diageo Americas,43410,Captain Morgan Parrot Bay Coconut,12,750,7.49,11.23,6,67.38,4.50,1.19
S12880000004,06/17/2013,4821,Casey's General Store #3215 / Oskalo,901 S MARKET ST,OSKALOOSA,52577,POINT (-92.645075 41.287632),62,Mahaska,1011100,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,1750,11.96,17.93,6,107.58,10.50,2.77
S18391200141,04/14/2014,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42712,Malibu Coconut Rum Mini,12,500,4.95,7.43,1,7.43,0.50,0.13
S26729300140,07/14/2015,2522,Hy-Vee Wine and Spirits / Spirit Lak,HWY 9 & 71,SPIRIT LAKE,51360,,30,Dickinson,1041100,AMERICAN DRY GINS,260,Diageo Americas,30318,Gordon's Gin London Dry - Pet,6,1750,11.00,16.50,6,99.00,10.50,2.77
S08570500053,10/25/2012,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,POINT (-91.697941 41.97447),57,Linn,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,1750,7.10,10.65,6,63.90,10.50,2.77
