VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-06-01 00:46:30,2024-06-01 00:55:10,1.0,1.57,1.0,N,88,231,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,2024-06-01 00:41:30,2024-06-01 00:46:51,1.0,1.02,1.0,N,211,87,1,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2024-06-01 00:49:36,2024-06-01 01:16:19,1.0,8.27,1.0,N,261,67,1,38.0,1.0,0.5,0.1,0.0,1.0,43.1,2.5,0.0
1,2024-06-01 00:41:23,2024-06-01 00:54:06,1.0,1.8,1.0,N,234,231,1,12.1,3.5,0.5,2.0,0.0,1.0,19.1,2.5,0.0
2,2024-06-01 00:01:26,2024-06-01 00:26:17,1.0,7.01,1.0,N,68,41,1,32.4,1.0,0.5,3.74,0.0,1.0,41.14,2.5,0.0
1,2024-06-01 00:52:25,2024-06-01 01:51:24,1.0,11.1,99.0,N,161,197,1,39.5,0.0,0.5,0.0,6.94,1.0,47.94,0.0,0.0
1,2024-06-01 00:04:53,2024-06-01 00:46:01,1.0,7.7,1.0,N,79,36,1,44.3,3.5,0.5,9.85,0.0,1.0,59.15,2.5,0.0
2,2024-06-01 00:29:36,2024-06-01 00:37:13,1.0,0.85,1.0,N,100,170,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2024-06-01 00:46:27,2024-06-01 00:58:11,2.0,2.04,1.0,N,234,231,2,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2024-06-01 00:12:02,2024-06-01 00:18:47,1.0,0.63,1.0,N,166,24,2,7.9,1.0,0.5,0.0,0.0,1.0,10.4,0.0,0.0
1,2024-06-01 00:08:09,2024-06-01 00:56:59,1.0,16.7,2.0,N,132,170,1,70.0,4.25,0.5,12.0,13.88,1.0,101.63,2.5,1.75
2,2024-06-01 00:34:43,2024-06-01 00:44:45,3.0,4.89,1.0,N,138,192,2,19.8,6.0,0.5,0.0,0.0,1.0,29.05,0.0,1.75
2,2024-06-01 00:39:14,2024-06-01 01:05:54,1.0,4.62,1.0,N,144,17,1,28.2,1.0,0.5,6.64,0.0,1.0,39.84,2.5,0.0
2,2024-06-01 00:23:28,2024-06-01 00:30:43,1.0,1.09,1.0,N,186,230,1,8.6,1.0,0.5,2.45,0.0,1.0,16.05,2.5,0.0
2,2024-06-01 00:38:26,2024-06-01 00:45:34,4.0,1.17,1.0,N,48,246,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2024-06-01 00:08:15,2024-06-01 00:24:02,1.0,1.73,1.0,N,234,79,1,14.9,1.0,0.5,2.0,0.0,1.0,21.9,2.5,0.0
1,2024-06-01 00:08:23,2024-06-01 00:14:31,2.0,1.0,1.0,N,164,68,1,7.9,3.5,0.5,1.0,0.0,1.0,13.9,2.5,0.0
1,2024-06-01 00:24:44,2024-06-01 00:42:13,2.0,4.4,1.0,N,158,238,1,21.9,3.5,0.5,6.7,0.0,1.0,33.6,2.5,0.0
1,2024-06-01 00:56:11,2024-06-01 01:29:58,1.0,9.6,1.0,N,237,49,1,44.3,3.5,0.5,8.0,0.0,1.0,57.3,2.5,0.0
2,2024-06-01 00:06:39,2024-06-01 00:12:52,1.0,1.06,1.0,N,141,229,2,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
2,2024-06-01 00:27:54,2024-06-01 01:10:38,2.0,4.31,1.0,N,113,37,2,38.0,1.0,0.5,0.0,0.0,1.0,43.0,2.5,0.0
2,2024-06-01 00:09:06,2024-06-01 00:18:02,1.0,1.89,1.0,N,142,141,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2024-06-01 00:21:17,2024-06-01 00:24:53,1.0,0.87,1.0,N,141,141,1,6.5,1.0,0.5,1.11,0.0,1.0,12.61,2.5,0.0
2,2024-06-01 00:57:26,2024-06-01 01:04:29,1.0,2.31,1.0,N,142,151,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
1,2024-06-01 00:11:31,2024-06-01 00:20:59,1.0,2.1,1.0,N,79,170,1,12.1,3.5,0.5,1.5,0.0,1.0,18.6,2.5,0.0
1,2024-06-01 00:46:33,2024-06-01 00:50:56,1.0,0.8,1.0,N,161,164,1,6.5,3.5,0.5,2.85,0.0,1.0,14.35,2.5,0.0
1,2024-06-01 00:06:09,2024-06-01 00:16:07,1.0,1.6,1.0,N,249,186,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2024-06-01 00:38:17,2024-06-01 00:44:55,1.0,1.1,1.0,N,186,68,2,7.9,3.5,0.5,0.0,0.0,1.0,12.9,2.5,0.0
2,2024-06-01 00:07:34,2024-06-01 00:20:23,1.0,1.37,1.0,N,90,48,1,12.8,1.0,0.5,4.45,0.0,1.0,22.25,2.5,0.0
2,2024-06-01 00:30:01,2024-06-01 00:40:18,1.0,1.98,1.0,N,48,239,1,12.1,1.0,0.5,3.0,0.0,1.0,20.1,2.5,0.0
2,2024-06-01 00:44:06,2024-06-01 00:52:14,1.0,0.76,1.0,N,238,238,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
1,2024-06-01 00:32:16,2024-06-01 00:52:40,1.0,7.6,1.0,N,132,265,1,33.8,2.75,0.5,5.0,0.0,1.0,43.05,0.0,1.75
2,2024-06-01 00:09:53,2024-06-01 00:16:10,1.0,1.09,1.0,N,158,246,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2024-06-01 00:23:44,2024-06-01 00:27:26,1.0,0.42,1.0,N,158,249,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,2024-06-01 00:32:39,2024-06-01 00:48:43,1.0,2.41,1.0,N,158,144,1,17.0,1.0,0.5,2.0,0.0,1.0,24.0,2.5,0.0
2,2024-06-01 00:52:56,2024-06-01 00:59:49,1.0,0.99,1.0,N,45,231,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2024-06-01 00:20:20,2024-06-01 00:25:50,2.0,0.6,1.0,N,230,162,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0
1,2024-06-01 00:59:24,2024-06-01 01:07:48,1.0,1.6,1.0,N,79,264,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2024-06-01 00:34:39,2024-06-01 00:57:24,0.0,3.5,1.0,N,239,234,1,22.6,3.5,0.5,5.5,0.0,1.0,33.1,2.5,0.0
2,2024-05-31 23:54:54,2024-06-01 00:05:09,2.0,2.05,1.0,N,142,229,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2024-06-01 00:20:19,2024-06-01 00:30:47,2.0,2.62,1.0,N,229,43,1,14.2,1.0,0.5,2.5,0.0,1.0,21.7,2.5,0.0
2,2024-06-01 00:52:19,2024-06-01 01:01:02,2.0,1.31,1.0,N,163,229,1,10.0,1.0,0.5,2.0,0.0,1.0,17.0,2.5,0.0
2,2024-06-01 00:32:21,2024-06-01 00:50:02,1.0,6.13,1.0,N,229,261,1,27.5,1.0,0.5,10.0,0.0,1.0,42.5,2.5,0.0
2,2024-06-01 00:27:10,2024-06-01 00:54:19,2.0,2.4,1.0,N,68,148,1,23.3,1.0,0.5,4.0,0.0,1.0,32.3,2.5,0.0
2,2024-06-01 00:49:02,2024-06-01 01:07:21,1.0,2.98,1.0,N,48,79,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
