VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-06-01 00:08:42,2024-06-01 00:29:11,1.0,3.34,1.0,N,211,48,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0
2,2024-06-01 00:31:12,2024-06-01 00:33:58,1.0,0.27,1.0,N,100,48,2,4.4,1.0,0.5,0.0,0.0,1.0,9.4,2.5,0.0
2,2024-06-01 00:17:01,2024-06-01 00:40:57,1.0,4.79,1.0,N,158,141,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0
2,2024-06-01 00:22:28,2024-06-01 00:27:57,1.0,1.17,1.0,N,43,143,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0
2,2024-06-01 00:43:20,2024-06-01 00:54:57,1.0,1.62,1.0,N,68,161,1,12.8,1.0,0.5,1.0,0.0,1.0,18.8,2.5,0.0
2,2024-06-01 00:27:04,2024-06-01 00:41:36,1.0,1.96,1.0,N,107,232,1,14.2,1.0,0.5,1.0,0.0,1.0,20.2,2.5,0.0
2,2024-06-01 00:55:19,2024-06-01 01:06:39,1.0,3.76,1.0,N,148,233,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0
2,2024-06-01 00:26:24,2024-06-01 00:35:13,1.0,1.49,1.0,N,142,50,1,10.0,1.0,0.5,2.0,0.0,1.0,17.0,2.5,0.0
2,2024-06-01 00:07:10,2024-06-01 00:13:22,2.0,0.89,1.0,N,144,231,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,2024-06-01 00:24:40,2024-06-01 00:37:05,1.0,1.44,1.0,N,144,249,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,2024-06-01 00:43:50,2024-06-01 00:55:12,3.0,1.27,1.0,N,249,144,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2024-06-01 00:56:07,2024-06-01 01:02:24,2.0,1.01,1.0,N,144,231,2,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
2,2024-06-01 00:13:39,2024-06-01 00:28:00,3.0,2.29,1.0,N,100,79,1,14.9,1.0,0.5,1.11,0.0,1.0,21.01,2.5,0.0
2,2024-06-01 00:30:20,2024-06-01 00:48:12,1.0,3.07,1.0,N,114,88,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2024-06-01 00:17:54,2024-06-01 00:34:09,1.0,3.36,1.0,N,68,229,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
1,2024-06-01 00:07:39,2024-06-01 00:12:05,1.0,0.6,1.0,N,237,263,1,5.8,3.5,0.5,2.0,0.0,1.0,12.8,2.5,0.0
1,2024-06-01 00:20:02,2024-06-01 00:26:13,1.0,1.6,1.0,N,237,142,1,9.3,3.5,0.5,3.55,0.0,1.0,17.85,2.5,0.0
2,2024-06-01 00:10:38,2024-06-01 00:25:45,1.0,2.32,1.0,N,234,148,1,15.6,1.0,0.5,0.0,0.0,1.0,20.6,2.5,0.0
2,2024-06-01 00:42:29,2024-06-01 00:52:20,1.0,1.39,1.0,N,107,246,1,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2024-06-01 00:13:41,2024-06-01 00:30:09,1.0,3.18,1.0,N,161,263,1,18.4,1.0,0.5,7.02,0.0,1.0,30.42,2.5,0.0
2,2024-06-01 00:56:30,2024-06-01 01:00:28,1.0,1.09,1.0,N,68,68,1,7.2,1.0,0.5,1.0,0.0,1.0,13.2,2.5,0.0
1,2024-06-01 00:01:12,2024-06-01 00:28:10,1.0,4.4,1.0,N,144,142,1,26.1,3.5,0.5,6.2,0.0,1.0,37.3,2.5,0.0
1,2024-06-01 00:43:50,2024-06-01 00:52:15,1.0,1.8,1.0,N,142,161,2,10.0,3.5,0.5,0.0,0.0,1.0,15.0,2.5,0.0
1,2024-06-01 00:16:03,2024-06-01 00:35:16,3.0,5.6,1.0,N,238,224,1,27.5,3.5,0.5,4.0,0.0,1.0,36.5,2.5,0.0
2,2024-06-01 00:37:45,2024-06-01 00:54:24,1.0,3.13,1.0,N,68,43,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2024-06-01 00:58:27,2024-06-01 01:04:16,1.0,1.45,1.0,N,142,246,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2024-06-01 00:49:36,2024-06-01 01:25:33,1.0,3.23,1.0,N,79,141,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0
1,2024-06-01 00:18:34,2024-06-01 00:30:48,1.0,2.1,1.0,N,141,75,1,12.1,3.5,0.5,2.0,0.0,1.0,19.1,2.5,0.0
1,2024-06-01 00:00:38,2024-06-01 00:10:02,1.0,1.6,1.0,N,234,148,1,10.7,3.5,0.5,3.1,0.0,1.0,18.8,2.5,0.0
2,2024-06-01 00:19:03,2024-06-01 00:30:42,3.0,2.17,1.0,N,13,158,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,2024-06-01 00:39:05,2024-06-01 00:46:30,2.0,0.74,1.0,N,249,234,1,7.9,1.0,0.5,1.0,0.0,1.0,13.9,2.5,0.0
2,2024-06-01 00:11:51,2024-06-01 00:23:05,1.0,2.74,1.0,N,148,49,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
1,2024-06-01 00:06:26,2024-06-01 00:13:25,1.0,1.2,1.0,N,137,79,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0
1,2024-06-01 00:16:46,2024-06-01 00:47:19,1.0,6.1,1.0,N,79,80,1,33.1,3.5,0.5,9.0,6.94,1.0,54.04,2.5,0.0
2,2024-06-01 00:04:18,2024-06-01 00:12:59,1.0,1.71,1.0,N,142,246,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,2024-06-01 00:24:52,2024-06-01 00:27:40,1.0,0.45,1.0,N,249,68,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,2024-06-01 00:35:04,2024-06-01 00:46:51,1.0,1.58,1.0,N,249,68,1,12.1,1.0,0.5,1.0,0.0,1.0,18.1,2.5,0.0
2,2024-06-01 00:57:13,2024-06-01 01:23:26,1.0,5.01,1.0,N,249,238,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0
2,2024-06-01 00:19:47,2024-06-01 00:26:05,1.0,1.22,1.0,N,163,162,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2024-06-01 00:47:15,2024-06-01 01:01:13,1.0,3.44,1.0,N,162,75,1,17.0,1.0,0.5,1.0,0.0,1.0,23.0,2.5,0.0
1,2024-06-01 00:26:17,2024-06-01 00:34:41,4.0,1.4,1.0,N,79,137,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,2024-06-01 00:43:26,2024-06-01 00:50:22,2.0,1.0,1.0,N,79,107,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
1,2024-06-01 00:52:35,2024-06-01 01:12:15,1.0,5.3,1.0,N,148,142,1,25.4,3.5,0.5,6.0,0.0,1.0,36.4,2.5,0.0
2,2024-06-01 00:30:26,2024-06-01 01:08:56,1.0,4.63,1.0,N,144,255,4,-37.3,-1.0,-0.5,0.0,0.0,-1.0,-42.3,-2.5,0.0
2,2024-06-01 00:30:26,2024-06-01 01:08:56,1.0,4.63,1.0,N,144,255,4,37.3,1.0,0.5,0.0,0.0,1.0,42.3,2.5,0.0
2,2024-06-01 00:11:19,2024-06-01 00:13:45,2.0,0.23,1.0,N,249,158,1,4.4,1.0,0.5,1.88,0.0,1.0,11.28,2.5,0.0
2,2024-06-01 00:15:11,2024-06-01 00:22:45,1.0,1.17,1.0,N,249,231,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0
2,2024-06-01 00:15:17,2024-06-01 00:41:38,1.0,3.74,1.0,N,50,114,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0
2,2024-06-01 00:43:14,2024-06-01 00:44:48,1.0,0.02,1.0,N,114,114,2,3.7,1.0,0.5,0.0,0.0,1.0,8.7,2.5,0.0
2,2024-06-01 00:18:55,2024-06-01 00:28:04,2.0,2.89,1.0,N,87,148,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2024-06-01 00:30:46,2024-06-01 00:49:07,1.0,2.58,1.0,N,148,255,1,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0
2,2024-06-01 00:23:22,2024-06-01 00:27:22,1.0,1.28,1.0,N,142,239,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2024-06-01 00:42:30,2024-06-01 00:52:09,2.0,1.54,1.0,N,148,125,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,2024-06-01 00:53:12,2024-06-01 00:57:30,2.0,0.9,1.0,N,125,249,2,-6.5,-1.0,-0.5,0.0,0.0,-1.0,-11.5,-2.5,0.0
2,2024-06-01 00:53:12,2024-06-01 00:57:30,2.0,0.9,1.0,N,125,249,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0
1,2024-06-01 00:05:42,2024-06-01 00:13:39,4.0,1.4,1.0,N,234,158,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2024-06-01 00:31:12,2024-06-01 00:46:33,1.0,2.5,1.0,N,90,229,1,16.3,3.5,0.5,3.2,0.0,1.0,24.5,2.5,0.0
2,2024-06-01 00:18:18,2024-06-01 00:33:47,1.0,2.6,1.0,N,100,143,1,16.3,1.0,0.5,2.0,0.0,1.0,23.3,2.5,0.0
2,2024-06-01 00:09:55,2024-06-01 00:14:55,1.0,0.69,1.0,N,114,211,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-06-01 00:15:56,2024-06-01 00:34:01,1.0,3.36,1.0,N,211,246,1,19.8,1.0,0.5,2.48,0.0,1.0,27.28,2.5,0.0
2,2024-06-01 00:49:27,2024-06-01 00:54:34,1.0,0.81,1.0,N,246,186,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-06-01 00:37:54,2024-06-01 00:47:55,1.0,1.66,1.0,N,158,114,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
1,2024-06-01 00:40:32,2024-06-01 00:53:15,1.0,3.9,1.0,N,132,216,1,17.7,2.75,0.5,6.55,0.0,1.0,28.5,0.0,1.75
